id,recordingid,shotid,sequenceid,url,date,format,camera,subjectid,glasses,source1,emotion,source2,rank,lefteye,righteye,nose,mouth,yaw,pitch,stageid,weather,collectionid,environmentid,sensorid,illuminantid,illuminantid1,illuminantid2,state,fileid,by_user,lastcheck,date_added,added_by,comment,temp_collectionid,enrolled_date,fileid,userkey,checksum,extension,size,lastcheck,rank,fstate,subjectid,gender,source1,YOB,source2,race,source3,sequence,date_added,s_irises,ethnicity
44393,nd5R55010,2008-093-009-face-closeup.NEF,05248d334,NULL,04_02_2008,nef,NULL,nd1S05248,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235211,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235211,2008-093-009-face-closeup.NEF,67c65a4fa448d7f6388ad1960d6499fd,nef,8513523,05_16_2012,0,ok,nd1S05248,Female,Given,1963,Given,White,Retrospectively,1189,07_12_2010,198509,NULL
44394,nd5R55011,2008-093-009-hq.NEF,05248d335,NULL,04_02_2008,nef,NULL,nd1S05248,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235212,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235212,2008-093-009-hq.NEF,90b812cf100fc5c9ae119ac373c884c4,nef,8533720,05_16_2012,0,ok,nd1S05248,Female,Given,1963,Given,White,Retrospectively,1189,07_12_2010,198509,NULL
44391,nd5R55012,2008-093-008-pre-activity-still.NEF,05510d1,NULL,04_02_2008,nef,NULL,nd1S05510,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235209,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235209,2008-093-008-pre-activity-still.,ddfc31e8417319336e5e1c1390013149,nef,8915566,05_16_2012,0,ok,nd1S05510,Male,Given,1987,Given,White,Retrospectively,458,02_12_2010,197929,NULL
44392,nd5R55013,2008-093-008-pre-mugshot.JPG,05510d2,NULL,04_02_2008,jpeg,NULL,nd1S05510,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235210,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235210,2008-093-008-pre-mugshot.JPG,416d2b54cd517f88c89ba9cddf3d005f,jpg,842555,05_16_2012,0,ok,nd1S05510,Male,Given,1987,Given,White,Retrospectively,458,02_12_2010,197929,NULL
44390,nd5R55014,2008-093-008-post-mugshot.JPG,05510d3,NULL,04_02_2008,jpeg,NULL,nd1S05510,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235208,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235208,2008-093-008-post-mugshot.JPG,ea0340e5dacb05a7a20ce5ef443c795e,jpg,921269,05_16_2012,0,ok,nd1S05510,Male,Given,1987,Given,White,Retrospectively,458,02_12_2010,197929,NULL
44387,nd5R55015,2008-093-008-hq.NEF,05510d4,NULL,04_02_2008,nef,NULL,nd1S05510,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235205,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235205,2008-093-008-hq.NEF,8ca3d7d2e37748447e938851ffa90680,nef,8618470,05_16_2012,0,ok,nd1S05510,Male,Given,1987,Given,White,Retrospectively,458,02_12_2010,197929,NULL
44388,nd5R55016,2008-093-008-passport.NEF,05510d5,NULL,04_02_2008,nef,NULL,nd1S05510,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00042,nd1N00013,nd1I00010,nd1I00010,NULL,enrolled,235206,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235206,2008-093-008-passport.NEF,03f0c88043af7fba4b5960e62b1921c4,nef,5449438,05_04_2012,0,ok,nd1S05510,Male,Given,1987,Given,White,Retrospectively,458,02_12_2010,197929,NULL
44389,nd5R55017,2008-093-008-post-activity-still.NEF,05510d6,NULL,04_02_2008,nef,NULL,nd1S05510,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235207,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235207,2008-093-008-post-activity-still,a8b29a100560f120a95e0f8d17942124,nef,8954991,05_16_2012,0,ok,nd1S05510,Male,Given,1987,Given,White,Retrospectively,458,02_12_2010,197929,NULL
44386,nd5R55018,2008-093-008-face-closeup.NEF,05510d7,NULL,04_02_2008,nef,NULL,nd1S05510,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235204,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235204,2008-093-008-face-closeup.NEF,cfa15449a5c49d9a75cbc288e1362e0d,nef,8692559,05_16_2012,0,ok,nd1S05510,Male,Given,1987,Given,White,Retrospectively,458,02_12_2010,197929,NULL
44385,nd5R55019,2008-093-007-pre-mugshot.JPG,05409d220,NULL,04_02_2008,jpeg,NULL,nd1S05409,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235203,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235203,2008-093-007-pre-mugshot.JPG,5a68893c06c1c8fb1628abce60600bcc,jpg,838335,05_16_2012,0,ok,nd1S05409,Female,Given,1981,Given,White,Retrospectively,2301,07_12_2010,198235,NULL
